BN/NE,Category/Cat�gorie,Designation,Legal Name/Nom l�gal,Account Name/Nom compte,Address Line 1/Adresse ligne 1,Address Line 2/Adresse ligne 2,City/Ville,Province,Postal Code/Code Postal,Country/Pays,Public Contact Name/Nom personne-ressource,Phone/T�l�phone,Email/Courriel,Website/Site Web
118888437RR0001,50,A,Commission de la biblioth�que Dre-Marguerite-Michaud,Commission de la biblioth�que Dre-Marguerite-Michaud,"715, RUE PRIESTMAN",,FREDERICTON,NB,E3B5W7,CA,FRANCOISE CARON,(506) 453-7100,BIBLIODMM@GNB.CA,WWW.FRANCO-FREDERICTON.COM/BIBLIOMM.
118888486RR0001,25,B,DR. RAY FLETCHER FARQUHARSON MEMORIAL LECTURESHIP TRUST,DR. RAY FLETCHER FARQUHARSON MEMORIAL LECTURESHIP TRUST,130 KING ST WEST 20TH FLOOR,"BOX 430, STN FIRST CANADIAN PL",TORONTO,ON,M5X1K1,CA,,(416) 933-2923,,
118888502RR0001,3,B,DR. SAMUEL S. ROBINSON CHARITABLE FOUNDATION,DR. SAMUEL S. ROBINSON CHARITABLE FOUNDATION,PO BOX 396,,KINGSTON,ON,K7L4W2,CA,FRED IVIMEY ACCOUNTANT,(613) 542-4982,,
118888544RR0001,56,C,DRUMBO AGRICULTURAL SOCIETY,DRUMBO AGRICULTURAL SOCIETY,P O BOX 37,,DRUMBO,ON,N0J1G0,CA,NELLIE PYNENBURG,(519) 458-4081,DRUMBOFAIR@GMAIL.COM,DRUMBOFAIR.COM
118888569RR0001,61,C,DRUMHELLER ALBERTA CONGREGATION OF JEHOVAHS WITNESSES,DRUMHELLER ALBERTA CONGREGATION OF JEHOVAHS WITNESSES,P.O. BOX 2167,,DRUMHELLER,AB,T0J0Y0,CA,,(403) 823-6681,,
118888585RR0001,39,C,DRUMHELLER CHRISTIAN & MISSIONARY ALLIANCE CHURCH,DRUMHELLER CHRISTIAN & MISSIONARY ALLIANCE CHURCH,670-7 AVE E,,DRUMHELLER,AB,T0J0Y5,CA,PASTOR BRENT RUSHINKA,(403) 823-6166,DRUMALL@TELUS.NET,DRUMALIANCE.COM
118888601RR0001,9,C,DRUMHELLER COMMUNITY MEALS ON WHEELS,DRUMHELLER COMMUNITY MEALS ON WHEELS,35 GARDEN WAY,,DRUMHELLER,AB,T0J0Y5,CA,,(403) 823-3578,,
118888650RR0001,56,C,DRUMHELLER STAMPEDE & AGRICULTURAL SOCIETY,DRUMHELLER STAMPEDE & AGRICULTURAL SOCIETY,BOX 1834,,DRUMHELLER,AB,T0J0Y0,CA,,(403) 823-8381,,
118888684RR0001,1,C,DR. V.A. SNOW CENTRE INC.,DR. V.A. SNOW CENTRE INC.,54 DEMILLE COURT,,HAMPTON,NB,E5N5S7,CA,"HOWARD SPALDING, CHAIRMAN",(506) 832-6210,,
118888759RR0001,10,C,DRYDEN REGIONAL HEALTH CENTRE,DRYDEN REGIONAL HEALTH CENTRE,P.O. BOX 3003,,DRYDEN,ON,P8N2Z6,CA,,(807) 223-8200,,
118888783RR0001,39,C,DRYDEN FULL GOSPEL CHURCH,DRYDEN FULL GOSPEL CHURCH,R R 4   SITE 134,BOX 25,DRYDEN,ON,P8N0A2,CA,LANA LANG TREASURER,(807) 223-5504,DRYDENFULLGOSPEL@DFGC.CA,WWW.DFGC.CA
118888791RR0001,56,C,DRYDEN GO-GETTERS,DRYDEN GO-GETTERS,84 ST. CHARLES STREET,,DRYDEN,ON,P8N1L3,CA,PETER W SMITH,(807) 223-5321,,WWW.BDO.CA
118888809RR0001,47,C,DR. YIK PING CHAN EVANGELISTIC FOUNDATION,DR. YIK PING CHAN EVANGELISTIC FOUNDATION,2426EAST45THAVE,,VANCOUVER,BC,V5R3B5,CA,"DENNIS LAW, CMA",(604) 879-6554,WORSHIP@GOSPEL-NEWS.ORG,GOSPEL-NEWS.ORG
118888833RR0001,9,C,D-TROIS-PIERRES,D-TROIS-PIERRES,183 CHEMIN DU CAP ST- JACQUES,,PIERREFONDS,QC,H9K1C6,CA,"C. FERNANDEZ, CONTROLEUR",(514) 648-8805,,
118888858RR0001,44,C,DUBLIN STREET UNITED CHURCH,DUBLIN STREET UNITED CHURCH,68 SUFFOLK ST. WEST,,GUELPH,ON,N1H2J2,CA,,(416) 212-3964,DUBLIN@BELLNET.CA,WWW.DUBLIN.ON.CA
118888874RR0001,34,C,DUCHESS BETHEL MENNONITE CHURCH,DUCHESS BETHEL MENNONITE CHURCH,BOX 300,,DUCHESS,AB,T0J0Z0,CA,,(403) 362-7174,,
118888908RR0001,34,C,DUCHESS MENNONITE CHURCH,DUCHESS MENNONITE CHURCH,BOX 298,,DUCHESS,AB,T0J0Z0,CA,PASTOR - ALVIN PENNER,(403) 378-4966,OFFICE@DUCHESSMENNONITE.CA,WWW.DUCHESSMENNONITE.CA
118888924RR0001,44,C,DUCHESS UNITED CHURCH,DUCHESS UNITED CHURCH,BOX 584,,DUCHESS,AB,T0J0Z0,CA,REV. KATHLEEN JONES,(403) 362-3637,BKSUNITE@SHAW.CA,
118888957RR0001,54,C,DUCKS UNLIMITED CANADA/CANARDS ILLIMITES CANADA,DUCKS UNLIMITED CANADA - CANARDS ILLIMITES CANADA,OAK HAMMOCK MARSH PO BOX 1160,,STONEWALL,MB,R0C2Z0,CA,MARCY SULLIVAN,(204) 467-3000,WEBFOOT@DUCKS.CA,WWW.DUCKS.CA
118888973RR0001,59,C,DUFF CEMETERY COMPANY,DUFF CEMETERY COMPANY,103 PARK STREET,,STELLARTON,NS,B0K1S0,CA,,(902) 695-2750,BURIN67@GMAIL.COM,
118889054RR0001,50,C,DUFFERIN HISTORICAL SOCIETY INCORPORATED,DUFFERIN HISTORICAL SOCIETY INCORPORATED,PO BOX 1646,,CARMAN,MB,R0G0J0,CA,TRISH AUBIN - PRESIDENT,(204) 745-3597,INFO@DUFFERINHISTORICALMUSEUM.CA,WWW.DUFFERINHISTORICALMUSEUM.CA
118889096RR0001,37,C,"DUFF PRESBYTERIAN CHURCH, LARGIE",DUFF PRESBYTERIAN CHURCH,224 NANCY ST,,DUTTON,ON,N0L1J0,CA,,(519) 762-3198,MMITCHELL@START.CA,
118889120RR0001,56,C,DUGALD COMMUNITY CLUB INC.,DUGALD COMMUNITY CLUB INC.,PO BOX 34,,DUGALD,MB,R0E0K0,CA,"TRINDA BARTON, PRESIDENT",(204) 853-2092,SANDCAT2@MTS.NET,
118889153RR0001,44,C,DUGALD UNITED CHURCH,DUGALD UNITED CHURCH,PO  BOX 70,,DUGALD,MB,R0E0K0,CA,,(204) 853-2018,,
118889187RR0001,56,C,DUNBAR COMMUNITY CENTRE ASSOCIATION,Dunbar Community Centre Association,4747 DUNBAR STREET,,VANCOUVER,BC,V6S2H2,CA,TREASURER,(604) 222-6067,,DUNBARCENTRE.CA
118889195RR0001,31,C,DUNBAR HEIGHTS REGULAR BAPTIST CHURCH,DUNBAR HEIGHTS REGULAR BAPTIST CHURCH,3996 WEST 17TH AVE,,VANCOUVER,BC,V6S1A5,CA,PASTOR BARTON PRIEBE,(604) 224-1031,BARTON2@TELUS.NET,WWW.DHBC.CA
118889203RR0001,44,C,DUNBAR HEIGHTS UNITED CHURCH,DUNBAR HEIGHTS UNITED CHURCH,3525 WEST 24TH AVE,,VANCOUVER,BC,V6S1L5,CA,"FRED FAWCETT, TREASURER",(604) 731-6420,OFFICE@DUNBARHEIGHTSUC.CA,WWW.DUNBARHEIGHTSUC.CA
118889211RR0001,20,C,DUNBAR MEMORIAL PRESCHOOL,DUNBAR MEMORIAL PRESCHOOL,4747 DUNBAR ST,,VANCOUVER,BC,V6S2H2,CA,PRESIDENT OR TREASURER,(604) 222-6065,,WWW.DUNBARMEMORIALPRESCHOOL.CA
118889237RR0001,44,C,DUNBARTON-FAIRPORT UNITED CHURCH,DUNBARTON-FAIRPORT UNITED CHURCH,1066 DUNBARTON RD,,PICKERING,ON,L1V1G8,CA,"HELEN COX, TREASURER",(905) 839-3455,DFUNITED@DUNBARTONFAIRPORT.ON.CA,WWW.DUNBARTONFAIRPORT.ON.CA
118889294RR0001,56,C,DUNCHURCH AGRICULTURAL SOCIETY,DUNCHURCH AGRICULTURAL SOCIETY,760 HWY 520 N RR #2,,DUNCHURCH,ON,P0A1G0,CA,"JANE BOTTRELL, SECRETARY-TREASURER",(705) 389-2370,DASFALLFAIR@GMAIL.COM,
118889302RR0001,56,C,DUNDALK DISTRICT AGRICULTURAL SOCIETY,DUNDALK DISTRICT AGRICULTURAL SOCIETY,P. O. BOX 497,RR # 1,DUNDALK,ON,N0C1L0,CA,"ALBERT GREAVES, TREASURER",(519) 923-5318,,DUNDALKFAIR.COM
118889328RR0001,39,C,DUNDALK WESLEYAN CHURCH,DUNDALK WESLEYAN CHURCH,BOX 59,,DUNDALK,ON,N0C1B0,CA,TREASURER,(519) 923-2473,,
118889336RR0001,22,C,DUNDAS ART AND CRAFT ASSOCIATION,DUNDAS ART AND CRAFT ASSOCIATION,10 KING STREET WEST,,DUNDAS,ON,L9H1T7,CA,ADMINISTRATOR,(905) 627-4265,CARNEGIE@CARNEGIEGALLERY.ORG,WWW.CARNEGIEGALLERY.ORG
118889351RR0001,20,C,PROVIDENCE CHRISTIAN SCHOOL,Providence Christian School,542 OFIELD ROAD,,DUNDAS,ON,L9H5E2,CA,KEVIN BOUWERS,(905) 627-1411,FINANCE@PROVIDENCES.CA,WWW.PROVIDENCECS.CA
118889468RR0001,31,C,CENTRAL KINGS UNITED BAPTIST CHURCH,CENTRAL KINGS UNITED BAPTIST CHURCH,161 SAILORS HOPE ROAD,RR #4,SOURIS,PE,C0A2B0,CA,FREDA SMIT-MCKIE,(902) 583-2017,FREDASMITMCKIE@GMAIL.COM,
118889476RR0001,22,C,DUNDAS VALLEY ORCHESTRA,DUNDAS VALLEY ORCHESTRA,1603 MAIN ST. W. UNIT 2,,HAMILTON,ON,L8S1E6,CA,"JIM JONES, SECRETARY",(905) 592-2068,INFO@DUNDASVALLEYORCHESTRA.CA,WWW.DUNDASVALLEYORCHESTRA.CA
118889484RR0001,22,C,DUNDAS VALLEY SCHOOL OF ART,DUNDAS VALLEY SCHOOL OF ART,21 OGILVIE ST,,DUNDAS,ON,L9H2S1,CA,ARTHUR E. GREENBLATT,(905) 628-6357,DVSA@COGECO.NET,WWW.DVSA.CA
118889492RR0001,39,C,DUNDURN GOSPEL CHURCH INC,DUNDURN GOSPEL CHURCH INC,P.O. BOX 94,,DUNDURN,SK,S0K1K0,CA,,(306) 492-7905,,
118889526RR0001,44,C,DUNDURN UNITED CHURCH,DUNDURN UNITED CHURCH,PO BOX 63,,DUNDURN,SK,S0K1K0,CA,AL HIEBERT (TREASURER),(306) 492-4665,HIEBERT@YOURLINK.CA,
118889567RR0001,44,C,"EGLISE UNIE DU CANADA, DUNHAM/DUNHAM UNITED CHURCH OF CANADA","DUNHAM UNITED CHURCH CANADA/EGLISE UNIE DU CANADA, DUNHAM",P.O BOX 188,,DUNHAM,QC,J0E1M0,CA,JOYCE MARTIN,(450) 295-3251,WINDYHILLJERSEYS@WEB-WHERE.COM,DUNHAMUNITEDCHURCH.ORG
118889625RR0001,59,C,Dunning And United Church Cemeteries Committee,DUNNING AND UNITED CHURCH CEMETERIES COMMITTEE,478 LABROSSE BLVD.,,GATINEAU,QC,J8P4R2,CA,"DAVID HALL, CHAIRMAN",(819) 671-5454,,
118889633RR0001,44,C,South Cayuga Community Church,South Cayuga Community Church,6182 RAINHAM ROAD,,DUNNVILLE,ON,N1A2W8,CA,robert thompson - minister,(905) 774-5178,ANNAVB182@HOTMAIL.COM,
118889674RR0001,39,C,DUNNVILLE FREE METHODIST CHURCH,DUNNVILLE FREE METHODIST CHURCH,181 CROSS ST EAST,,DUNNVILLE,ON,N1A1B7,CA,Joyce Smith,(905) 774-5111,,
118889690RR0001,13,A,DUNNVILLE HOSPITAL & HEALTHCARE FOUNDATION,DUNNVILLE HOSPITAL & HEALTHCARE FOUNDATION,322 BROAD ST W,,DUNNVILLE,ON,N1A1T1,CA,,(905) 774-2529,,
118889757RR0001,44,C,DUNSFORD UNITED CHURCH,DUNSFORD UNITED CHURCH,1981 STURGEON ROAD,,DUNSFORD,ON,K0M1L0,CA,,(705) 793-2511,,
118889765RR0001,21,B,DUNSTAN SCHOLARSHIP FUND,DUNSTAN SCHOLARSHIP FUND,"SUITE 418, PO BOX 11602",650 WEST GEORGIA STREET,VANCOUVER,BC,V6B4N9,CA,GREG VIBERT,(403) 299-3024,,
118889815RR0001,1,C,DURHAM ASSOCIATION FOR FAMILY RESPITE SERVICES,DURHAM ASSOCIATION FOR FAMILY RESPITE SERVICES,20-850 KING STREET WEST,,OSHAWA,ON,L1J8N5,CA,EXECUTIVE DIRECTOR,(905) 436-2500,STALMEY@DAFRS.COM,DAFRS.COM
118889823RR0001,31,C,DURHAM BAPTIST CHURCH INC.,DURHAM BAPTIST CHURCH INC.,PO BOX 23,,DURHAM,ON,N0G1R0,CA,,(519) 369-6396,,
